SITE CODE= 41329éÖãõêÏésàÍÇÃã{          ,37.4962,137.2705, 15.86,7.6,45292.6738723, 12.58, 21.45
 LAT.=   37.0388
 LON.=  137.8633
 SAMPLING RATE= 100Hz
 UNIT  = gal(cm/s/s)
INITIAL TIME = 2024 01 01 16 10 10
 NS,EW,UD
0.019,0.004,-0.009
0.014,0.007,-0.012
0.016,0.016,-0.010
0.023,0.023,-0.004
0.027,0.023,0.003
0.023,0.016,0.001
0.014,0.007,-0.010
0.009,0.004,-0.020
0.011,0.010,-0.021
0.017,0.020,-0.012
0.021,0.025,0.000
0.021,0.023,0.007
0.020,0.016,0.006
0.018,0.013,-0.001
0.015,0.014,-0.009
0.012,0.014,-0.012
0.014,0.010,-0.011
0.018,0.005,-0.009
0.019,0.007,-0.008
0.015,0.012,-0.010
0.010,0.015,-0.013
0.011,0.011,-0.013
0.020,0.007,-0.010
0.028,0.007,-0.005
0.028,0.013,-0.001
0.022,0.019,-0.000
0.018,0.016,-0.002
0.020,0.008,-0.004
0.022,0.005,-0.008
0.019,0.009,-0.011
0.014,0.016,-0.013
0.014,0.015,-0.013
0.023,0.006,-0.010
0.032,-0.004,-0.009
0.032,-0.008,-0.011
0.022,-0.005,-0.014
0.012,-0.003,-0.014
0.009,-0.002,-0.011
0.012,-0.001,-0.009
0.012,0.000,-0.012
0.009,0.002,-0.018
0.007,0.000,-0.023
0.008,-0.002,-0.021
0.010,-0.003,-0.016
0.010,0.000,-0.010
0.007,0.002,-0.007
0.003,0.001,-0.009
0.002,-0.004,-0.011
0.002,-0.009,-0.015
0.000,-0.007,-0.018
-0.002,0.000,-0.021
-0.002,0.005,-0.021
0.003,0.002,-0.018
0.007,-0.006,-0.011
0.005,-0.015,-0.007
0.000,-0.016,-0.005
-0.004,-0.011,-0.009
-0.004,-0.004,-0.013
-0.002,-0.004,-0.015
0.000,-0.013,-0.014
-0.003,-0.024,-0.014
-0.004,-0.027,-0.017
-0.004,-0.021,-0.021
-0.002,-0.011,-0.020
-0.001,-0.005,-0.013
-0.003,-0.009,-0.004
-0.006,-0.020,0.002
-0.008,-0.031,0.001
-0.007,-0.038,-0.005
-0.006,-0.035,-0.011
-0.009,-0.026,-0.013
-0.011,-0.017,-0.011
-0.011,-0.014,-0.010
-0.007,-0.018,-0.006
-0.004,-0.026,-0.000
-0.005,-0.032,0.005
-0.008,-0.034,0.007
-0.010,-0.033,0.003
-0.009,-0.032,-0.003
-0.007,-0.031,-0.009
-0.009,-0.030,-0.009
-0.011,-0.030,-0.006
-0.011,-0.034,-0.002
-0.008,-0.041,0.003
-0.005,-0.046,0.007
-0.007,-0.044,0.011
-0.011,-0.034,0.013
-0.013,-0.026,0.013
-0.012,-0.029,0.009
-0.007,-0.040,0.002
-0.004,-0.048,-0.005
-0.003,-0.045,-0.007
-0.004,-0.032,-0.002
-0.005,-0.021,0.008
-0.009,-0.022,0.019
-0.015,-0.031,0.022
-0.019,-0.039,0.019
-0.017,-0.041,0.010
-0.009,-0.037,0.003
-0.003,-0.032,0.000
-0.002,-0.029,0.002
-0.005,-0.026,0.007
-0.011,-0.025,0.012
-0.011,-0.026,0.017
-0.008,-0.030,0.020
-0.005,-0.036,0.016
-0.004,-0.040,0.008
-0.005,-0.040,0.001
-0.007,-0.039,0.000
-0.010,-0.037,0.006
-0.011,-0.033,0.014
-0.007,-0.028,0.017
-0.002,-0.027,0.014
0.004,-0.034,0.009
0.004,-0.044,0.007
-0.002,-0.050,0.010
-0.004,-0.046,0.013
-0.004,-0.037,0.014
-0.001,-0.030,0.011
0.000,-0.030,0.009
-0.003,-0.036,0.007
-0.006,-0.039,0.008
-0.007,-0.037,0.009
-0.005,-0.036,0.010
-0.001,-0.034,0.011
0.002,-0.033,0.012
0.002,-0.029,0.012
0.000,-0.024,0.009
-0.004,-0.021,0.005
-0.008,-0.021,0.002
-0.011,-0.025,0.000
-0.009,-0.026,0.002
-0.005,-0.027,0.003
-0.002,-0.027,0.003
0.000,-0.027,0.002
0.001,-0.026,0.001
0.000,-0.023,0.003
-0.001,-0.021,0.005
-0.003,-0.020,0.006
-0.004,-0.019,0.004
-0.003,-0.016,0.002
0.002,-0.015,0.001
0.005,-0.016,0.002
0.008,-0.023,0.003
0.006,-0.030,0.003
0.002,-0.032,0.003
-0.002,-0.025,0.003
-0.004,-0.012,0.004
-0.003,-0.002,0.004
0.002,-0.001,0.003
0.005,-0.008,0.002
0.005,-0.017,0.002
0.004,-0.021,0.004
0.002,-0.018,0.006
0.003,-0.012,0.007
0.007,-0.007,0.005
0.011,-0.005,0.001
0.013,-0.005,-0.003
0.011,-0.006,-0.004
0.008,-0.005,-0.002
0.005,-0.005,0.000
0.001,-0.005,0.000
-0.002,-0.007,-0.001
-0.004,-0.007,-0.002
-0.004,-0.007,-0.000
-0.004,-0.005,0.003
-0.003,-0.003,0.006
-0.001,-0.004,0.006
0.001,-0.005,0.004
0.002,-0.005,0.002
-0.001,-0.001,0.001
-0.005,0.005,0.001
-0.008,0.008,0.001
-0.008,0.007,0.000
-0.004,0.003,-0.000
-0.001,0.003,0.002
-0.003,0.008,0.005
-0.007,0.012,0.009
-0.012,0.014,0.010
-0.013,0.010,0.006
-0.013,0.006,0.002
-0.013,0.008,-0.000
-0.011,0.013,0.002
-0.005,0.016,0.004
0.001,0.013,0.004
0.002,0.008,0.001
-0.004,0.005,-0.003
-0.014,0.007,-0.004
-0.020,0.011,-0.002
-0.017,0.016,0.001
-0.012,0.020,0.001
-0.011,0.023,-0.002
-0.012,0.025,-0.004
-0.013,0.023,-0.003
-0.011,0.018,0.002
-0.010,0.015,0.007
-0.013,0.018,0.011
-0.021,0.023,0.009
-0.025,0.025,0.004
-0.022,0.018,-0.004
-0.014,0.008,-0.009
-0.009,0.004,-0.009
-0.009,0.008,-0.004
-0.010,0.014,0.003
-0.007,0.019,0.009
-0.004,0.021,0.010
-0.003,0.023,0.006
-0.004,0.026,0.001
-0.005,0.025,-0.004
-0.004,0.017,-0.006
-0.002,0.005,-0.006
-0.002,-0.001,-0.005
-0.004,0.002,-0.005
-0.009,0.013,-0.004
-0.009,0.022,-0.000
-0.008,0.025,0.005
-0.007,0.021,0.010
-0.011,0.017,0.011
-0.015,0.018,0.005
-0.015,0.023,-0.003
-0.011,0.026,-0.011
-0.004,0.023,-0.016
0.002,0.016,-0.018
0.004,0.008,-0.017
0.005,0.006,-0.014
0.005,0.010,-0.011
0.006,0.014,-0.009
0.007,0.016,-0.008
0.005,0.014,-0.007
0.004,0.014,-0.005
0.002,0.018,-0.005
0.002,0.023,-0.007
0.004,0.025,-0.011
0.007,0.022,-0.016
0.007,0.018,-0.020
0.005,0.017,-0.020
0.002,0.018,-0.017
0.000,0.015,-0.014
0.001,0.008,-0.010
0.005,0.005,-0.008
0.007,0.009,-0.007
